agebin,month,Cases,Pop,Year,Run_Number,Sample_ID
5,1,1.947628542781,168.6666666667,2018,0,11.0
100,1,1.945629031397,844.2,2018,0,11.0
5,2,1.239512614906,166.8666666667,2018,0,11.0
100,2,1.921737113968,842.0333333333,2018,0,11.0
5,3,2.559607252479,166.3666666667,2018,0,11.0
100,3,1.757461218163,837.6666666667,2018,0,11.0
5,4,1.693223133683,165.2666666667,2018,0,11.0
100,4,1.672843918204,836.4,2018,0,11.0
5,5,1.272298522294,162.5666666667,2018,0,11.0
100,5,1.074511682615,837.9,2018,0,11.0
5,6,1.261178798974,164,2018,0,11.0
100,6,0.9567876644433,839.2666666667,2018,0,11.0
5,7,0.6541218459606,167.4,2018,0,11.0
100,7,1.422549169511,838.1666666667,2018,0,11.0
5,8,0.8718152940273,167.4666666667,2018,0,11.0
100,8,2.646508127451,836.7,2018,0,11.0
5,9,1.897999972105,166.6666666667,2018,0,11.0
100,9,4.227462566458,837.5,2018,0,11.0
5,10,2.882162444293,164.6333333333,2018,0,11.0
100,10,3.593346767128,839.7,2018,0,11.0
5,11,2.49585570395,160.8666666667,2018,0,11.0
100,11,2.870154513977,843.5666666667,2018,0,11.0
5,12,5.893269114196,158.9666666667,2018,0,11.0
100,12,2.329420074821,846.1333333333,2018,0,11.0
5,1,1.584373354912,184.3,2015,0,14.0
100,1,1.769360158592,832.0333333333,2015,0,14.0
5,2,1.647111959755,184.6666666667,2015,0,14.0
100,2,2.213975034654,835.3,2015,0,14.0
5,3,1.442428633571,185.5666666667,2015,0,14.0
100,3,1.851459898055,834.5666666667,2015,0,14.0
5,4,1.316026747227,184.9,2015,0,14.0
100,4,1.826607389376,832.6,2015,0,14.0
5,5,0.9728145226836,187.6,2015,0,14.0
100,5,1.637426912785,832.2,2015,0,14.0
5,6,1.029437661171,189.1,2015,0,14.0
100,6,1.387999365106,832.7333333333,2015,0,14.0
5,7,1.57355850935,185.5666666667,2015,0,14.0
100,7,1.626740962267,837.6666666667,2015,0,14.0
5,8,2.771650761366,184.3666666667,2015,0,14.0
100,8,3.692866279744,840.1333333333,2015,0,14.0
5,9,6.249079406261,181.0666666667,2015,0,14.0
100,9,5.647159046493,842.4,2015,0,14.0
5,10,4.182791538537,177.4333333333,2015,0,14.0
100,10,3.745362721384,844.6,2015,0,14.0
5,11,4.258798770607,174.2666666667,2015,0,14.0
100,11,2.319976310246,844.3333333333,2015,0,14.0
5,12,2.681747749448,172.4,2015,0,14.0
100,12,2.567273886874,843.5666666667,2015,0,14.0
5,1,2.492968961596,165.9333333333,2016,0,14.0
100,1,2.571535331197,846.9,2016,0,14.0
5,2,1.727366253734,162,2016,0,14.0
100,2,2.581836730242,848.2333333333,2016,0,14.0
5,3,2.102880656719,162,2016,0,14.0
100,3,2.18416596204,846.7,2016,0,14.0
5,4,1.712915696204,163.3666666667,2016,0,14.0
100,4,2.254770822823,847.1666666667,2016,0,14.0
5,5,1.653283894062,161.9,2016,0,14.0
100,5,1.647370434366,849.3333333333,2016,0,14.0
5,6,1.806185603142,161.6666666667,2016,0,14.0
100,6,1.814285724424,851.6666666667,2016,0,14.0
5,7,1.185064911842,164.2666666667,2016,0,14.0
100,7,1.936377547681,848.2333333333,2016,0,14.0
5,8,1.477433741093,164.7,2016,0,14.0
100,8,3.56677527912,849.3666666667,2016,0,14.0
5,9,3.704831376672,164.2,2016,0,14.0
100,9,5.265526751056,848,2016,0,14.0
5,10,4.438589215279,164.4666666667,2016,0,14.0
100,10,3.013800960034,847.7666666667,2016,0,14.0
5,11,2.774554878473,166.6333333333,2016,0,14.0
100,11,2.827677061781,847.6333333333,2016,0,14.0
5,12,3.554252639413,167.7333333333,2016,0,14.0
100,12,2.355209294707,847.2,2016,0,14.0
